sample,fastq_1,fastq_2,strandedness,genotype,treatment
7-are-15-min-28C,7-are-15-min-28C_R1_001.fastq.gz,7-are-15-min-28C_R2_001.fastq.gz,reverse,7-are,15-min-28C
7-are-15-min-34C,7-are-15-min-34C_R1_001.fastq.gz,7-are-15-min-34C_R2_001.fastq.gz,reverse,7-are,15-min-34C
7-are-30-min-28C,7-are-30-min-28C_R1_001.fastq.gz,7-are-30-min-28C_R2_001.fastq.gz,reverse,7-are,30-min-28C
7-are-30-min-34C,7-are-30-min-34C_R1_001.fastq.gz,7-are-30-min-34C_R2_001.fastq.gz,reverse,7-are,30-min-34C
7-are-45-min-28C,7-are-45-min-28C_R1_001.fastq.gz,7-are-45-min-28C_R2_001.fastq.gz,reverse,7-are,45-min-28C
7-are-45-min-34C,7-are-45-min-34C_R1_001.fastq.gz,7-are-45-min-34C_R2_001.fastq.gz,reverse,7-are,45-min-34C
7-are-75-min-28C,7-are-75-min-28C_R1_001.fastq.gz,7-are-75-min-28C_R2_001.fastq.gz,reverse,7-are,75-min-28C
7-are-75-min-34C,7-are-75-min-34C_R1_001.fastq.gz,7-are-75-min-34C_R2_001.fastq.gz,reverse,7-are,75-min-34C
7-OE3-15-min-28C,7-OE3-15-min-28C_R1_001.fastq.gz,7-OE3-15-min-28C_R2_001.fastq.gz,reverse,7-OE3,15-min-28C
7-OE3-15-min-34C,7-OE3-15-min-34C_R1_001.fastq.gz,7-OE3-15-min-34C_R2_001.fastq.gz,reverse,7-OE3,15-min-34C
7-OE3-30-min-28C,7-OE3-30-min-28C_R1_001.fastq.gz,7-OE3-30-min-28C_R2_001.fastq.gz,reverse,7-OE3,30-min-28C
7-OE3-30-min-34C,7-OE3-30-min-34C_R1_001.fastq.gz,7-OE3-30-min-34C_R2_001.fastq.gz,reverse,7-OE3,30-min-34C
7-OE3-45-min-28C,7-OE3-45-min-28C_R1_001.fastq.gz,7-OE3-45-min-28C_R2_001.fastq.gz,reverse,7-OE3,45-min-28C
7-OE3-45-min-34C,7-OE3-45-min-34C_R1_001.fastq.gz,7-OE3-45-min-34C_R2_001.fastq.gz,reverse,7-OE3,45-min-34C
