gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description
Solyc01g081250.3	A.28.15	A.34.15	2.66e-09	4.25e-12	2.937	1.04e-05	7.81e-09	2.962	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g095320.4	A.28.15	A.34.15	1.56e-26	1e-29	2.526	5.06e-16	1.46e-19	2.536	Bag family molecular chaperone regulator 6-like protein (AHRD V3.3 *** A0A2K3PRI9_TRIPR)
Solyc01g102960.3	A.28.15	A.34.15	1.04e-14	1.11e-17	2.897	3.99e-07	1.84e-10	2.92	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc01g104740.3	A.28.15	A.34.15	2.89e-11	4.01e-14	1.979	1.09e-05	8.76e-09	1.995	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN)
Solyc02g088610.4	A.28.15	A.34.15	5.91e-05	1.2e-07	1.823	0.0271	2.96e-05	1.837	LeHSP110/ClpB heat shock protein
Solyc03g007890.3	A.28.15	A.34.15	1.91e-46	4.08e-50	3.517	2.98e-06	2.06e-09	3.541	class 2 small heat shock protein Le-HSP17.6
Solyc03g115230.3	A.28.15	A.34.15	1.43e-31	6.11e-35	2.062	8.13e-26	1.4e-29	2.069	Solanum lycopersicum heat shock protein
Solyc03g117630.1	A.28.15	A.34.15	0.00197	4.41e-06	1.61	NA	NA	NA	NA
Solyc03g120090.1	A.28.15	A.34.15	0.00197	4.38e-06	1.032	NA	NA	NA	NA
Solyc04g011440.4	A.28.15	A.34.15	4.69e-19	4.01e-22	3.076	1.85e-09	7.44e-13	3.102	ethylene-responsive heat shock protein cognate 70
Solyc05g052410.3	A.28.15	A.34.15	0.0167	4.27e-05	0.901	NA	NA	NA	NA
Solyc06g036290.3	A.28.15	A.34.15	1.14e-17	1.1e-20	2.586	0.00179	1.64e-06	2.607	heat shock protein 90
Solyc06g072430.3	A.28.15	A.34.15	2.41e-58	2.57e-62	3.204	6.32e-40	3.64e-44	3.215	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g076020.3	A.28.15	A.34.15	5.82e-12	7.45e-15	1.316	0.00843	8.24e-06	1.324	heat shock protein 70 kD
Solyc08g062437.1	A.28.15	A.34.15	4.69e-20	3.5e-23	3.034	8.79e-12	3.03e-15	3.051	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH)
Solyc08g078700.2	A.28.15	A.34.15	2.43e-31	1.29e-34	3.304	3.87e-16	8.91e-20	3.322	mitochondrial small heat shock protein
Solyc09g075950.1	A.28.15	A.34.15	0.0144	3.54e-05	1.609	NA	NA	NA	NA
Solyc09g092690.3	A.28.15	A.34.15	4.12e-06	7.91e-09	2.982	0.0183	1.9e-05	3.041	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA)
Solyc10g084170.1	A.28.15	A.34.15	2.13e-08	3.63e-11	2.694	0.000759	6.55e-07	2.722	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR)
Solyc11g012490.2	A.28.15	A.34.15	0.00915	2.15e-05	2.354	NA	NA	NA	NA
Solyc11g066060.3	A.28.15	A.34.15	2.17e-08	3.93e-11	0.799	8.09e-07	4.19e-10	0.804	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ)
Solyc11g066100.2	A.28.15	A.34.15	3.12e-43	1e-46	2.218	2.41e-38	2.78e-42	2.223	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc11g071830.2	A.28.15	A.34.15	3.1e-13	3.64e-16	2.555	8.81e-07	5.07e-10	2.577	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA)
Solyc12g015880.2	A.28.15	A.34.15	1.37e-09	2.05e-12	1.062	2.85e-06	1.8e-09	1.068	Heat shock protein 90-1
Solyc01g081250.3	A.28.30	A.34.30	1.63e-27	2.25e-30	4.244	6.65e-10	1.05e-12	4.268	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g095320.4	A.28.30	A.34.30	7.62e-27	1.14e-29	3.821	5.58e-09	1.01e-11	3.819	Bag family molecular chaperone regulator 6-like protein (AHRD V3.3 *** A0A2K3PRI9_TRIPR)
Solyc01g095430.3	A.28.30	A.34.30	0.00821	4.35e-05	-1.422	NA	NA	NA	NA
Solyc01g102960.3	A.28.30	A.34.30	1.61e-35	1.02e-38	4.057	1.53e-29	3.63e-33	4.069	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc01g104740.3	A.28.30	A.34.30	3.46e-37	1.1e-40	3.561	1.22e-29	1.93e-33	3.571	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN)
Solyc01g106210.3	A.28.30	A.34.30	0.0101	5.68e-05	0.757	NA	NA	NA	NA
Solyc02g077670.3	A.28.30	A.34.30	4.24e-08	1.57e-10	4.012	0.000476	1.24e-06	4.111	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC)
Solyc02g079930.3	A.28.30	A.34.30	0.00435	2.21e-05	0.943	0.0256	8.9e-05	0.945	phosphosulfolactate synthase
Solyc02g081550.3	A.28.30	A.34.30	2.86e-09	9.39e-12	4.299	0.00365	1.06e-05	4.466	LeftsH6FtsH protease
Solyc02g088610.4	A.28.30	A.34.30	1.94e-24	3.71e-27	3.07	9.77e-19	5.4e-22	3.079	LeHSP110/ClpB heat shock protein
Solyc02g090820.3	A.28.30	A.34.30	0.00363	1.77e-05	0.867	0.0362	0.000131	0.868	Heat stress transcription factor B-1 (AHRD V3.3 *** A0A2G3D8M4_CAPCH)
Solyc02g094610.1	A.28.30	A.34.30	0.0447	0.000261	1.899	NA	NA	NA	NA
Solyc03g006580.3	A.28.30	A.34.30	0.00603	3.13e-05	-1.644	NA	NA	NA	NA
Solyc03g007890.3	A.28.30	A.34.30	6.08e-48	6.45e-52	4.386	5.61e-19	2.66e-22	4.387	class 2 small heat shock protein Le-HSP17.6
Solyc03g082420.3	A.28.30	A.34.30	4.73e-33	4.01e-36	6.391	2.03e-10	2.56e-13	6.551	Small heat shock protein, chloroplastic (AHRD V3.3 *** HS21C_SOLLC)
Solyc03g115230.3	A.28.30	A.34.30	2.9e-28	3.68e-31	3.025	2.36e-09	4.09e-12	3.027	Solanum lycopersicum heat shock protein
Solyc03g117630.1	A.28.30	A.34.30	2.76e-22	5.85e-25	3.847	9e-08	1.78e-10	3.862	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN)
Solyc03g118060.3	A.28.30	A.34.30	8.31e-12	2.38e-14	7.294	0.000249	6.28e-07	6.629	NFU1 iron-sulfur cluster protein (AHRD V3.3 *** AT5G07330.1)
Solyc03g120090.1	A.28.30	A.34.30	5.18e-12	1.43e-14	2.06	3.38e-10	4.8e-13	2.063	Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID)
Solyc03g123540.3	A.28.30	A.34.30	6.01e-16	1.4e-18	4.703	1.66e-08	3.14e-11	4.786	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH)
Solyc04g011440.4	A.28.30	A.34.30	1.55e-41	3.28e-45	3.945	2.44e-37	1.92e-41	3.952	ethylene-responsive heat shock protein cognate 70
Solyc04g072160.3	A.28.30	A.34.30	8.88e-26	1.6e-28	3.856	4.43e-17	3.5e-20	3.88	ripening regulated protein DDTFR8
Solyc05g007895.1	A.28.30	A.34.30	0.000251	1.06e-06	2.842	NA	NA	NA	NA
Solyc05g052410.3	A.28.30	A.34.30	1.33e-08	4.66e-11	1.801	4.24e-07	8.7e-10	1.805	Dehydration-responsive element-binding protein 2A (AHRD V3.3 *** A0A1U8GX89_CAPAN)
Solyc05g055470.4	A.28.30	A.34.30	0.00837	4.52e-05	0.683	NA	NA	NA	NA
Solyc06g036290.3	A.28.30	A.34.30	2.18e-34	1.62e-37	3.866	5.95e-12	6.58e-15	3.873	heat shock protein 90
Solyc06g072430.3	A.28.30	A.34.30	5.21e-30	5.52e-33	3.586	6e-10	9e-13	3.585	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g076020.3	A.28.30	A.34.30	5.4e-14	1.37e-16	1.723	0.000954	2.56e-06	1.723	heat shock protein 70 kD
Solyc06g076520.1	A.28.30	A.34.30	9.15e-13	2.42e-15	5.019	1.26e-06	2.68e-09	5.135	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076560.2	A.28.30	A.34.30	7.62e-27	1.21e-29	5.217	5.95e-12	6.13e-15	5.301	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076570.4	A.28.30	A.34.30	6.91e-06	2.78e-08	3.208	0.0218	7.4e-05	3.284	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g083190.4	A.28.30	A.34.30	4.22e-08	1.52e-10	3.07	1.05e-05	2.58e-08	3.095	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH)
Solyc07g018210.3	A.28.30	A.34.30	0.0131	7.48e-05	-1.217	NA	NA	NA	NA
Solyc07g040960.1	A.28.30	A.34.30	2.13e-06	8.37e-09	2.505	0.00324	9.21e-06	2.532	Harbinger transposase-derived nuclease (AHRD V3.3 *** A0A200QD47_9MAGN)
Solyc07g053615.1	A.28.30	A.34.30	2.95e-07	1.13e-09	1.601	4e-06	9.46e-09	1.604	DnaJ like protein (AHRD V3.3 *** Q9FEW7_SOLLC)
Solyc07g065840.2	A.28.30	A.34.30	0.0031	1.48e-05	0.426	0.00205	5.66e-06	0.426	molecular chaperone Hsp90-2
Solyc08g006980.3	A.28.30	A.34.30	5.82e-11	1.79e-13	2.307	2.26e-09	3.75e-12	2.312	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN)
Solyc08g060920.4	A.28.30	A.34.30	0.00294	1.37e-05	1.221	NA	NA	NA	NA
