gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description	SL4
PRAM_26218	A.28.15	A.34.15	8.9e-11	1.17e-13	7.117	0.00079	1.02e-06	6.597	Complex 1 LYR protein (AHRD V3.3 *** A0A2U1NHM6_ARTAN) ITAG4.0:Solyc02g085937.1	Solyc02g085937.1
PRAM_26220	A.28.15	A.34.15	6.21e-13	6.78e-16	-7.519	0.000138	1.42e-07	-6.907	Complex 1 LYR protein (AHRD V3.3 *** A0A2U1NHM6_ARTAN) ITAG4.0:Solyc02g085937.1	Solyc02g085937.1
PRAM_26312	A.28.15	A.34.15	5.17e-05	1.13e-07	1.821	0.0173	2.82e-05	1.836	LeHSP110/ClpB heat shock protein ITAG4.0:Solyc02g088610.4	Solyc02g088610.4
Solyc01G002277	A.28.15	A.34.15	1.26e-09	1.92e-12	3.739	5.43e-06	4.66e-09	3.788	NA	NA
Solyc01G002659	A.28.15	A.34.15	6.78e-07	1.33e-09	2.538	5.99e-05	5.66e-08	2.564	3-hydroxyisobutyryl-CoA hydrolase-like protein 1, mitochondrial (AHRD V3.3 *** A0A1U8EBI0_CAPAN) ITAG4.0:Solyc01g090697.1	Solyc01g090697.1
Solyc01G002906	A.28.15	A.34.15	5.71e-30	3.74e-33	2.38	3.49e-18	1.2e-21	2.389	NA	NA
Solyc01G003685	A.28.15	A.34.15	0.0484	0.000153	2.101	NA	NA	NA	NA	NA
Solyc01G003828	A.28.15	A.34.15	0.00023	5.46e-07	-1.835	0.0217	3.72e-05	-1.801	NA	NA
Solyc03G000301	A.28.15	A.34.15	1.79e-38	5.87e-42	3.54	0.000145	1.61e-07	3.565	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
NA	NA	NA	NA	NA	NA	0.0499	9.6e-05	4.796	NA	NA
Solyc03G002803	A.28.15	A.34.15	9.47e-32	4.13e-35	2.021	1.2e-24	3.09e-28	2.028	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc03G003038	A.28.15	A.34.15	0.00154	3.86e-06	1.609	NA	NA	NA	NA	NA
Solyc03G003305	A.28.15	A.34.15	0.00182	4.77e-06	1.03	NA	NA	NA	NA	NA
Solyc04G000427	A.28.15	A.34.15	3.02e-19	2.31e-22	3.074	1.28e-09	6.6e-13	3.101	ethylene-responsive heat shock protein cognate 70 ITAG4.0:Solyc04g011440.4	Solyc04g011440.4
Solyc05G000281	A.28.15	A.34.15	0.00023	5.53e-07	2.42	0.0375	6.76e-05	2.461	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH) ITAG4.0:Solyc05g007895.1	Solyc05g007895.1
Solyc05G002365	A.28.15	A.34.15	0.042	0.000119	0.84	NA	NA	NA	NA	NA
Solyc06G000727	A.28.15	A.34.15	8.85e-17	7.72e-20	2.58	0.00128	1.76e-06	2.6	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
Solyc06G001783	A.28.15	A.34.15	0.0452	0.000138	-1.793	NA	NA	NA	NA	NA
Solyc06G002092	A.28.15	A.34.15	1.21e-57	1.32e-61	3.202	3.49e-40	2.99e-44	3.213	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002439	A.28.15	A.34.15	2e-12	2.4e-15	1.327	0.00242	3.53e-06	1.335	heat shock protein 70 kD ITAG4.0:Solyc06g076020.3	Solyc06g076020.3
Solyc06G002502	A.28.15	A.34.15	0.025	6.82e-05	0.518	NA	NA	NA	NA	NA
Solyc08G001299	A.28.15	A.34.15	1.19e-07	2.21e-10	4.983	0.0499	9.85e-05	5.341	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI) ITAG4.0:Solyc08g062960.4	Solyc08g062960.4
Solyc08G002151	A.28.15	A.34.15	1.98e-31	1.08e-34	3.302	1.8e-16	7.73e-20	3.32	mitochondrial small heat shock protein ITAG4.0:Solyc08g078700.2	Solyc08g078700.2
Solyc09G002335	A.28.15	A.34.15	0.0433	0.000128	1.482	NA	NA	NA	NA	NA
Solyc09G002796	A.28.15	A.34.15	4.45e-06	9.22e-09	2.981	0.0117	1.81e-05	3.04	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA) ITAG4.0:Solyc09g092690.3	Solyc09g092690.3
Solyc10G002699	A.28.15	A.34.15	2.04e-08	3.33e-11	2.693	5e-04	6.01e-07	2.721	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR) ITAG4.0:Solyc10g084170.1	Solyc10g084170.1
